STT,Stock Code,Organization Name,First Trading Date,Listing Volume,Stock Volume
1,A32,CTCP 32,23/10/2018,6.800.000,6.800.000
2,AAS,CTCP Chứng khoán SmartInvest,23/7/2020,80.000.000,80.000.000
3,ABB,Ngân hàng TMCP An Bình,28/12/2020,940.947.082,1.035.036.762
4,ABC,CTCP Truyền thông VMG,18/8/2016,20.393.000,20.389.000
5,ABI,CTCP Bảo hiểm Ngân hàng Nông Nghiệp,16/7/2009,51.557.417,50.399.217
6,ABW,CTCP Chứng khoán An Bình,30/5/2023,101.150.000,101.150.000
7,ACE,CTCP Bê tông Ly tâm An Giang,10/11/2009,3.050.781,3.050.781
8,ACM,CTCP Tập đoàn Khoáng sản Á Cường,19/7/2022,51.000.000,51.000.000
9,ACS,CTCP Xây lắp Thương mại 2,13/7/2017,4.000.000,4.000.000
10,ACV,Tổng công ty Cảng hàng không Việt Nam - CTCP,21/11/2016,2.177.173.236,2.176.950.436
11,ADP,CTCP Sơn Á Đông,2/2/2010,23.039.850,23.039.850
12,AFX,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang,2/12/2016,35.000.000,35.000.000
13,AG1,CTCP 28.1,10/1/2018,4.863.386,4.863.386
14,AGE,CTCP Môi trường Đô thị An Giang,15/8/2022,19.893.000,19.893.000
15,AGF,CTCP Xuất nhập khẩu Thủy sản An Giang,24/2/2020,28.109.743,28.109.743
16,AGP,CTCP Dược phẩm Agimexpharm,6/10/2015,17.969.247,17.969.247
17,AGX,CTCP Thực phẩm Nông sản Xuất khẩu Sài Gòn,14/9/2015,10.800.000,10.800.000
18,AIC,Tổng Công ty cổ phần Bảo hiểm Hàng Không,8/1/2021,100.000.000,100.000.000
19,ALV,CTCP Xây dựng ALVICO,21/6/2019,5.657.936,5.657.936
20,AMP,CTCP Armephaco,12/1/2017,13.000.000,13.000.000
21,AMS,CTCP Cơ khí Xây dựng AMECC,6/2/2017,60.000.000,60.000.000
22,ANT,CTCP Rau quả Thực phẩm An Giang,22/12/2016,8.000.000,8.000.000
23,APF,CTCP Nông sản Thực phẩm Quảng Ngãi,8/6/2017,22.553.997,22.553.997
24,APL,CTCP Cơ khí và Thiết bị áp lực - VVMI,14/10/2016,1.200.000,1.200.000
25,APP,CTCP Phát triển phụ gia và sản phầm dầu mỏ,3/8/2022,4.724.632,4.724.632
26,APT,CTCP Kinh doanh Thủy Hải sản Sài Gòn,7/6/2019,8.800.000,8.800.000
27,ASA,CTCP ASA,21/6/2019,10.000.000,10.000.000
28,ATA,CTCP NTACO,17/2/2017,11.999.998,11.999.998
29,ATB,CTCP An Thịnh,25/8/2017,13.884.000,13.884.000
30,ATG,CTCP An Trường An,14/5/2021,15.220.000,15.220.000
31,AVC,CTCP Thủy điện A Vương,8/1/2018,75.052.052,75.052.052
32,AVF,CTCP Việt An,18/6/2015,43.338.000,43.338.000
33,B82,CTCP 482,31/8/2018,5.000.000,5.000.000
34,BAL,CTCP Bao bì Bia - Rượu - Nước giải khát,12/1/2018,2.000.000,2.000.000
35,BBH,CTCP Bao bì Hoàng Thạch,14/5/2020,2.047.932,2.047.932
36,BBM,CTCP Bia Hà Nội - Nam Định,5/1/2018,2.000.000,2.000.000
37,BBT,CTCP Bông Bạch Tuyết,12/6/2018,9.800.000,9.800.000
38,BCA,CTCP B.C.H,8/9/2021,19.000.000,19.000.000
39,BCB,CTCP 397,29/10/2018,5.000.000,5.000.000
40,BCP,CTCP Dược Enlie,14/9/2015,6.000.000,6.000.000
41,BCV,CTCP Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico,16/3/2021,1.800.000,1.800.000
42,BDG,Công ty Cổ phần May mặc Bình Dương,6/4/2016,24.799.920,24.799.920
43,BDT,CTCP Xây lắp và Vật liệu Xây dựng Đồng Tháp,6/9/2017,38.600.000,38.595.400
44,BDW,CTCP Cấp thoát nước Bình Định,14/10/2015,12.410.800,12.410.800
45,BEL,CTCP Điện tử Biên Hòa,12/7/2016,6.000.000,6.000.000
46,BGW,CTCP Nước sạch Bắc Giang,31/10/2017,18.149.446,18.149.446
47,BHA,CTCP Thủy điện Bắc Hà,2/8/2017,66.000.000,66.000.000
48,BHC,Công ty cổ phần bê tông Biên hòa,10/4/2015,4.500.000,4.500.000
49,BHG,CTCP Chè Biển Hồ,30/10/2018,8.935.643,8.935.643
50,BHK,CTCP Bia Hà Nội - Kim Bài,5/4/2018,3.986.000,3.986.000
51,BHP,CTCP Bia Hà Nội - Hải Phòng,21/1/2013,9.179.290,9.179.290
52,BIG,CTCP Big Invest Group,10/1/2022,5.000.000,5.000.000
53,BII,CTCP Đầu tư và Phát triển Công nghiệp Bảo Thư,31/5/2023,57.680.000,57.680.000
54,BIO,CTCP Vắc xin và Sinh phẩm Nha Trang,30/8/2018,8.562.000,8.551.500
55,BKH,CTCP Bánh Mứt Kẹo Hà Nội,26/6/2019,1.750.000,1.750.000
56,BLI,Tổng CTCP Bảo hiểm Bảo Long,11/12/2015,60.000.000,59.999.474
57,BLN,CTCP Vận tải và Dịch vụ Liên Ninh,9/9/2016,5.000.000,5.000.000
58,BLT,CTCP Lương thực Bình Định,10/7/2017,4.000.000,4.000.000
59,BLW,CTCP Cấp nước Bạc Liêu,19/10/2018,11.168.800,11.168.800
60,BMD,CTCP Môi trường và Dịch vụ đô thị Bình Thuận,14/6/2017,2.753.280,2.753.280
61,BMF,CTCP Vật liệu Xây dựng và Chất đốt Đồng Nai,16/4/2018,4.159.600,4.159.600
62,BMG,CTCP May Bình Minh,25/12/2018,5.292.000,5.292.000
63,BMJ,CTCP Khoáng sản miền đông AHP,22/12/2009,104.999.978,104.999.978
64,BMN,Công ty Cổ phần 715,6/4/2016,2.750.000,2.750.000
65,BMS,Công ty Cổ phần Chứng khoán Bảo Minh,8/8/2018,60.989.375,60.989.375
66,BMV,CTCP Bột mỳ Vinafood 1,6/6/2017,24.200.000,24.200.000
67,BNW,CTCP Nước sạch Bắc Ninh,28/12/2018,37.549.391,37.549.391
68,BOT,CTCP BOT Cầu Thái Hà,14/2/2019,59.246.800,59.246.800
69,BQB,CTCP Bia Hà Nội - Quảng Bình,9/1/2018,5.800.000,5.800.000
70,BRR,CTCP Cao su Bà Rịa,16/6/2017,112.500.000,112.500.000
71,BRS,CTCP Dịch vụ Đô thị Bà Rịa,24/1/2017,4.541.950,4.541.950
72,BSA,CTCP Thủy điện Buôn Đôn,20/8/2018,65.540.346,65.540.346
73,BSD,"CTCP Bia, Rượu Sài Gòn - Đồng Xuân",28/4/2017,3.000.000,3.000.000
74,BSG,CTCP Xe khách Sài Gòn,21/11/2016,60.000.000,60.000.000
75,BSH,CTCP Bia Sài Gòn - Hà Nội,4/7/2018,18.000.000,18.000.000
76,BSL,CTCP Bia Sài Gòn - Sông Lam,16/6/2017,45.000.000,45.000.000
77,BSP,CTCP Bia Sài Gòn - Phú Thọ,10/8/2016,12.500.000,12.500.000
78,BSQ,CTCP Bia Sài Gòn - Quảng Ngãi,28/2/2017,45.000.000,45.000.000
79,BSR,CTCP Lọc Hóa dầu Bình Sơn,1/3/2018,244.119.369,3.100.499.616
80,BT1,CTCP Bảo vệ Thực vật 1 Trung ương,9/11/2016,5.250.000,5.250.000
81,BT6,CTCP BETON 6,6/3/2017,32.993.550,32.905.510
82,BTB,CTCP Bia Hà Nội - Thái Bình,12/1/2017,7.691.226,7.691.226
83,BTD,CTCP Bê tông Ly tâm Thủ Đức,2/3/2017,6.414.100,6.412.291
84,BTG,CTCP Bao bì Tiền Giang,24/3/2010,1.190.000,1.190.000
85,BTH,CTCP Chế tạo biến thế và Vật liệu điện Hà Nội,27/9/2017,25.000.000,25.000.000
86,BTN,CTCP Gạch Tuy Nen Bình Định,5/1/2018,4.465.570,4.396.762
87,BTU,Công ty Cổ phần Công trình Đô Thị Bến Tre,11/3/2016,3.600.000,3.600.000
88,BTV,CTCP Dịch vụ Du lịch Bến Thành,3/3/2017,25.000.000,24.956.600
89,BVB,Ngân hàng TMCP Bản Việt,9/7/2020,422.152.864,501.680.000
90,BVG,CTCP Group Bắc Việt,20/11/2015,9.750.948,9.750.948
91,BVL,CTCP BV Land,11/6/2021,57.312.800,57.312.800
92,BVN,CTCP Bông Việt Nam,11/10/2011,5.000.000,5.000.000
93,BWA,CTCP Cấp thoát nước và Xây dựng Bảo Lộc,14/6/2010,2.700.000,2.700.000
94,BWS,CTCP Cấp nước Bà Rịa - Vũng Tàu,28/11/2017,90.000.000,90.000.000
95,C12,CTCP Cầu 12,26/12/2016,4.850.000,4.850.000
96,C21,CTCP Thế kỷ 21,1/11/2016,19.336.371,18.138.647
97,C22,CTCP 22,24/5/2018,3.550.000,3.550.000
98,C4G,Công ty cổ phần Tập đoàn CIENCO4,10/12/2018,337.077.303,337.077.303
99,C92,CTCP Xây dựng và Đầu tư 492,3/8/2022,5.312.920,5.312.920
100,CAB,CTCP Tổng Công ty truyền hình cáp Việt Nam,6/9/2019,45.745.876,45.745.876
101,CAD,CTCP Chế biến & XNK Thủy sản Cadovimex,1/11/2012,8.799.927,20.799.927
102,CAR,CTCP Tập đoàn Giáo dục Trí Việt,13/7/2022,3.200.000,3.200.000
103,CAT,CTCP Thủy sản Cà Mau,23/3/2018,9.748.579,9.249.173
104,CBI,CTCP Gang thép Cao Bằng,28/9/2017,43.006.366,43.006.366
105,CBS,CTCP Mía đường Cao Bằng,20/6/2017,3.527.925,5.291.868
106,CC1,Tổng Công ty Xây dựng Số 1 - CTCP,20/7/2017,328.934.469,328.596.669
107,CC4,CTCP Đầu tư và Xây dựng số 4,28/7/2017,64.000.000,64.000.000
108,CCA,CTCP Xuất nhập khẩu Thủy sản Cần Thơ,26/12/2019,15.092.326,13.734.017
109,CCM,Công ty cổ phần Khoáng sản và Xi măng Cần Thơ,6/7/2018,6.199.900,6.199.896
110,CCP,CTCP Cảng Cửa Cấm Hải Phòng,16/3/2017,2.400.000,2.400.000
111,CCT,CTCP Cảng Cần Thơ,30/6/2017,28.480.000,28.480.000
112,CCV,CTCP Tư vấn Xây dựng Công nghiệp và Đô thị Việt Nam,9/1/2017,1.800.000,1.800.000
113,CDG,CTCP Cầu Đuống,27/2/2017,3.464.995,3.464.911
114,CDH,CTCP Công trình công cộng và Dịch vụ Du lịch Hải Phòng,23/6/2016,2.000.000,2.000.000
115,CDO,CTCP Tư vấn Thiết kế và Phát triển Đô thị,5/10/2018,31.504.975,31.504.975
116,CDP,CTCP Dược phẩm Trung ương Codupha,13/7/2018,18.270.000,18.208.800
117,CDR,CTCP Xây dựng Cao su Đồng Nai,26/6/2017,2.133.271,2.133.271
118,CE1,CTCP Xây dựng và Thiết bị Công nghiệp CIE1,10/4/2017,6.000.000,6.000.000
119,CEG,CTCP Tập đoàn Xây dựng và Thiết bị Công nghiệp,17/5/2017,3.800.000,3.800.000
120,CEN,CTCP CENCON Việt Nam,15/6/2018,21.712.440,21.712.440
121,CFM,CTCP Đầu tư CFM,25/1/2021,2.000.000,2.000.000
122,CFV,CTCP Cà phê Thắng Lợi,3/6/2019,8.096.000,12.650.000
123,CGV,CTCP VINACEGLASS,21/6/2017,9.499.956,9.499.956
124,CH5,CTCP Xây dựng số 5 Hà Nội,14/6/2017,3.732.450,3.732.450
125,CHC,CTCP Cẩm Hà,16/2/2017,6.731.596,6.731.596
126,CHS,CTCP Chiếu sáng Công cộng Thành phố Hồ Chí Minh,12/1/2017,28.400.000,28.400.000
127,CI5,CTCP Đầu tư Xây dựng số 5,1/7/2011,2.700.000,2.699.922
128,CID,CTCP Xây dựng và Phát triển Cơ sở hạ tầng,10/5/2016,1.082.000,928.5
129,CIP,CTCP Xây lắp và Sản xuất Công nghiệp,27/9/2017,4.545.000,4.545.000
130,CK8,CTCP Cơ khí 120,6/1/2023,3.000.000,3.000.000
131,CKA,CTCP Cơ khí An Giang,17/10/2018,3.286.404,3.286.404
132,CKD,CTCP Cơ khí Đông Anh Licogi,21/5/2015,31.000.000,31.000.000
133,CLG,CTCP Đầu tư và Phát triển Nhà Đất Cotec,5/5/2021,21.150.000,21.150.000
134,CLX,CTCP Xuất nhập khẩu và Đầu tư Chợ Lớn (Cholimex),1/3/2017,86.600.000,86.600.000
135,CMD,CTCP Vật liệu Xây dựng và Trang trí Nội thất Thành phố Hồ Chí Minh,5/7/2019,15.000.000,11.220.000
136,CMF,CTCP Thực phẩm Cholimex,30/11/2016,8.100.000,8.100.000
137,CMI,CTCP CMISTONE Việt Nam,14/6/2019,15.002.500,16.000.000
138,CMK,CTCP Cơ khí Mạo Khê - Vinacomin,21/10/2015,1.432.578,1.432.578
139,CMM,CTCP Camimex,8/11/2022,56.950.000,63.000.000
140,CMN,CTCP Lương thực Thực phẩm Colusa - Miliket,10/7/2017,4.800.000,4.800.000
141,CMP,Công ty Cổ phần Cảng Chân Mây,15/2/2016,32.405.415,32.405.415
142,CMT,CTCP Công nghệ Mạng và Truyền Thông,24/4/2019,8.000.000,7.277.780
143,CMW,CTCP Cấp nước Cà Mau,10/4/2017,15.534.900,15.534.900
144,CNA,CTCP Tổng Công ty Chè Nghệ An,9/12/2021,793.917,793.917
145,CNC,CTCP Công nghệ Cao Traphaco,25/6/2014,11.364.325,11.364.325
146,CNN,"CTCP Tư vấn công nghệ, thiết bị và kiểm định xây dựng - CONINCO",1/6/2016,8.800.000,8.800.000
147,CNT,CTCP Tập đoàn CNT,17/3/2015,40.015.069,39.915.069
148,CPA,CTCP Cà phê Phước An,30/12/2019,23.627.990,23.627.990
149,CPH,CTCP Phục vụ Mai táng Hải Phòng,8/2/2017,4.400.000,4.400.000
150,CPI,CTCP Đầu tư Cảng Cái Lân,28/7/2017,36.505.000,36.505.000
151,CQN,CTCP Cảng Quảng Ninh,18/8/2020,75.049.936,75.049.936
152,CQT,CTCP Xi măng Quán Triều VVMI,1/11/2016,25.000.000,25.000.000
153,CSI,Công ty Cổ phần Chứng khoán Kiến thiết Việt Nam,15/3/2019,16.800.000,16.800.000
154,CST,CTCP Than Cao Sơn - TKV,26/4/2021,42.846.773,42.846.773
155,CT3,CTCP Đầu tư và Xây dựng Công trình 3,20/11/2009,8.799.849,8.799.756
156,CT6,CTCP Công trình 6,15/5/2020,6.108.078,6.105.759
157,CTA,CTCP Vinavico,20/12/2019,8.454.381,9.542.381
158,CTN,CTCP Xây dựng công trình ngầm,26/5/2016,6.958.345,4.870.845
159,CTW,CTCP Cấp thoát nước Cần Thơ,30/9/2016,28.000.000,27.998.600
160,CVP,CTCP Cảng Cửa Việt,4/5/2022,3.425.980,3.425.980
161,CYC,CTCP Gạch men Chang Yih,22/5/2017,1.990.530,9.046.425
162,DAC,CTCP 382 Đông Anh,8/4/2016,1.004.974,1.004.974
163,DAN,Công ty cổ phần Dược Danapha,22/12/2021,21.127.000,20.735.000
164,DAS,CTCP Máy - Thiết bị Dầu khí Đà Nẵng,25/9/2014,4.200.000,4.200.000
165,DBM,CTCP Dược - Vật tư y tế Đăk Lăk,17/12/2009,1.941.588,1.941.584
166,DC1,CTCP Đầu tư Phát triển Xây dựng số 1,19/7/2016,4.094.905,4.094.905
167,DCF,CTCP Xây dựng và Thiết kế Số 1,12/1/2017,15.000.000,15.000.000
168,DCG,CTCP Tổng Công ty May Đáp Cầu,14/12/2018,6.825.000,6.824.996
169,DCH,CTCP Địa chính Hà Nội,23/4/2018,2.880.000,2.880.000
170,DCR,CTCP Gạch men Cosevco,8/10/2018,6.500.000,6.500.000
171,DCS,CTCP Tập Đoàn Đại Châu,31/5/2019,60.310.988,60.309.533
172,DCT,Công ty Cổ phần Tấm lợp Vật liệu Xây dựng Đồng Nai,7/4/2016,27.223.647,27.223.647
173,DDH,CTCP Đảm bảo giao thông đường thủy Hải Phòng,30/6/2016,3.600.000,3.600.000
174,DDM,CTCP Hàng hải Đông Đô,15/12/2014,12.244.495,12.244.492
175,DDN,CTCP Dược - Thiết bị y tế Đà Nẵng,24/6/2009,15.349.328,15.349.328
176,DDV,CTCP DAP - VINACHEM,10/6/2015,146.109.900,146.109.900
177,DFC,CTCP Xích líp Đông Anh,12/1/2017,6.000.000,6.000.000
178,DFF,CTCP Tập đoàn Đua Fat,8/7/2021,80.000.000,80.000.000
179,DGT,CTCP Công trình Giao thông Đồng Nai,9/3/2010,79.000.000,79.000.000
180,DHB,CTCP Phân đạm và Hóa chất Hà Bắc,26/7/2017,272.200.000,272.200.000
181,DHD,CTCP Dược Vật tư Y tế Hải Dương,5/5/2017,14.999.785,20.399.630
182,DHN,CTCP Dược phẩm Hà Nội,19/4/2018,6.290.900,6.290.900
183,DIC,CTCP Đầu tư và Thương mại DIC,18/8/2020,26.585.840,26.084.560
184,DID,CTCP DIC - Đồng Tiến,4/6/2020,15.622.552,15.622.552
185,DKC,CTCP Chợ Lạng Sơn,14/7/2020,2.288.540,2.288.540
186,DLD,CTCP Du lịch ĐăkLăk,8/4/2011,9.307.415,9.307.415
187,DLM,CTCP Chiếu sáng công cộng Đà Nẵng,6/1/2023,1.160.250,1.657.500
188,DLR,Công ty Cổ phần Địa ốc Đà Lạt,31/5/2019,4.500.000,4.500.000
189,DLT,Công ty CP Du lịch và Thương mại - Vinacomin,16/11/2015,2.500.056,2.500.056
190,DM7,CTCP Dệt May 7,15/10/2018,15.411.100,15.411.100
191,DMN,CTCP Domenal,22/11/2021,12.500.000,12.500.000
192,DMS,CTCP Hóa phẩm Dầu khí DMC - Miền Nam,15/6/2023,4.000.000,4.000.000
193,DNA,CTCP Điện nước An Giang,19/10/2017,56.329.567,56.329.567
194,DND,CTCP Đầu tư Xây dựng và Vật liệu Đồng Nai,9/11/2016,8.834.000,8.834.000
195,DNE,CTCP Môi trường Đô thị Đà Nẵng,5/4/2017,5.773.600,5.773.600
196,DNH,CTCP Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,19/6/2017,422.400.000,422.400.000
197,DNL,CTCP Logistics Cảng Đà Nẵng,18/8/2011,4.310.000,4.310.000
198,DNN,CTCP Cấp nước Đà Nẵng,17/7/2017,57.964.061,57.964.061
199,DNT,CTCP Du lịch Đồng Nai,24/2/2020,7.459.675,7.280.925
200,DNW,Công ty Cổ phần Cấp nước Đồng Nai,16/3/2016,120.000.000,120.000.000
201,DOC,CTCP Vật tư Nông nghiệp Đồng Nai,19/12/2016,10.000.000,10.000.000
202,DOP,CTCP Vận tải Xăng dầu Đồng Tháp,30/10/2015,4.719.950,4.719.950
203,DP1,CTCP Dược phẩm Trung Ương CPC1,12/6/2018,20.979.000,20.979.000
204,DP2,CTCP Dược phẩm Trung ương 2,19/5/2017,20.000.000,20.000.000
205,DPH,CTCP Dược phẩm Hải Phòng,20/1/2017,3.000.000,3.000.000
206,DPP,CTCP Dược Đồng Nai,19/5/2010,3.000.010,3.000.010
207,DPS,CTCP Đầu tư Phát triển Sóc Sơn,2/7/2021,31.085.257,31.085.257
208,DRG,CTCP Cao su Đắk LắK,11/12/2019,1.658.400,155.800.000
209,DRI,CTCP Đầu tư Cao su Đắk Lắk,23/5/2017,73.200.000,73.200.000
210,DSC,CÔNG TY CỔ PHẦN CHỨNG KHOÁN DSC,5/1/2018,100.000.000,100.000.000
211,DSD,CTCP DHC Suối Đôi,17/5/2022,36.600.000,36.600.000
212,DSG,CTCP Kính Đáp Cầu,11/8/2017,30.000.000,30.000.000
213,DSP,CTCP Dịch vụ Du lịch Phú Thọ,17/10/2018,118.684.000,118.684.000
214,DSV,CTCP Đường sắt Vĩnh Phú,2/12/2016,1.229.579,1.229.579
215,DTB,CTCP Công trình Đô thị Bảo Lộc,22/7/2019,1.558.248,1.558.248
216,DTE,CTCP Đầu tư Năng Lượng Đại Trường Thành Holdings,31/12/2020,50.725.887,50.725.887
217,DTG,CTCP Dược phẩm Tipharco,28/2/2017,6.315.928,6.315.928
218,DTH,CTCP Dược - Vật tư Y tế Thanh Hóa,18/4/2022,7.471.614,7.471.614
219,DTI,CTCP Đầu tư Đức Trung,5/1/2018,12.097.754,12.097.754
220,DTP,CTCP Dược phẩm CPC1 Hà Nội,18/6/2020,16.229.042,16.229.042
221,DTV,CTCP Phát triển điện Trà Vinh,9/9/2010,5.280.000,5.264.000
222,DUS,CTCP Dịch vụ Đô thị Đà Lạt,8/1/2020,5.614.300,5.601.200
